>NAME	>POSTION
>MoveEmptyBoxHome	>[-1.4870590852717527, 3.0607428113205137, 1.3763718519394983, -2.036085323483965, 1.4648866713001893, 1.3066171382456524]
>GraspOpen	> 35
>MoveAboveBox2	>[-2.427419401965969, 3.9828157334413734, 2.2503197221079176, -0.3415292043824825, 1.2709170643589767, 0.4319689898685972]
>MoveBox1	>[-2.509231710653203, 4.270602513473625, 2.2329947939525163, 0.08805979332131586, 0.8401380414444547, 0.08449038347941773]
>GraspClose	>100
>MoveBox1Up	>[-2.5381065021401694, 3.7547037355350725, 2.2560947869317545, -0.20824952664048807, 1.4886865430139005, 0.009520268264815002]
>MoveBox1AboveLocation	>[1.7113209511901266, 3.788391125427921, 1.9442454143442556, 0.11304974018002092, 1.3197069744775554, -0.3926990816987246]
>MoveBox1Location	>[1.8547332411553297, 4.4111271378688555, 1.8345207805880097, 0.7794481954690206, 0.5878586555940115, -0.7306574198230873]
>GraspOpen	> 35
>MoveBox1AboveLocation	>[1.7113209511901266, 3.788391125427921, 1.9442454143442556, 0.11304974018002092, 1.3197069744775554, -0.3926990816987246]
>MoveHome	>[2.810493553169038, 3.2580548185878304, 2.053007714840601, -2.175314719483035, 2.3157346816474256, 0.48551886767201474]
>MoveAboveFirstObject	>[1.5553963314754045, 4.474652318298842, 3.3870295796514958, 2.670353755551324, -1.8944753277864734, 1.6576661115502458]
>MoveFirstObject	>[1.4504841629669865, 5.187862837188603, 3.0164680245140554, 1.9706353433761228, -1.408956027350781, 2.5561139984829584]
>GraspClose	>75
>MoveAboveFirstObject	>[1.5553963314754045, 4.474652318298842, 3.3870295796514958, 2.670353755551324, -1.8944753277864734, 1.6576661115502458]
>MoveHome	>[2.810493553169038, 3.2580548185878304, 2.053007714840601, -2.175314719483035, 2.3157346816474256, 0.48551886767201474]
 >MoveAbovePack1	>[2.1877574075700488, 3.76914126443661, 2.2243323298748154, -0.024990038404867576, 1.1174075322787926, 2.1312850766549185]
